pair_index,Ti_pre,Ca_pre,Mg_pre,Ti_post,Ca_post,Mg_post
1,1893,4009,1657,3031,4015,3202
2,2585,5413,2414,3474,5942,4582
3,2653,5168,2100,1907,5294,1989
4,2608,5337,2899,3123,7164,3184
5,3239,5072,2375,4190,7339,6700
6,2556,2004,2118,2395,1884,2138
7,3325,5734,4717,2604,6172,2545
8,3516,7225,4707,3665,6837,5128
9,2667,5626,2347,3619,6383,5819
10,3228,5985,3624,3212,5214,2784
11,2289,6350,2155,2250,5865,2385
12,2641,3278,1966,3125,5476,3143
13,2334,2780,1428,3086,4123,2976
14,2483,1348,1586,3038,2488,2294
15,2785,2792,2362,3398,2848,3822
16,2510,4604,2471,2667,4702,2960
17,2705,3479,2466,3440,4589,4086
18,2008,1269,1591,2292,1796,2394
19,2265,5809,1939,3017,6437,3560
20,3629,3911,5020,3838,8759,4910
21,2873,2719,3110,3184,3983,3162
22,2919,1947,2768,2576,2465,2417
23,2295,2046,1868,3055,3995,3147
24,2723,6622,1897,2863,6895,2826
25,2863,1954,2201,4497,13209,7382
26,2740,5049,2831,3009,6650,3654
27,1654,1499,1174,2752,2491,2565
28,2833,3677,2894,3085,10136,4698
29,2124,1781,1831,4367,10935,6216
30,1960,4631,1340,2500,6756,3027
31,2120,6121,2224,3156,9416,4597
32,3088,5077,2327,3791,7817,4298
33,2697,2366,1565,3414,3491,2645
34,1656,4499,2184,6846,26476,14794
35,2848,2348,1985,2651,6437,3216
36,2167,736,1147,3180,2342,2681
37,2884,6128,3357,2915,9837,4382
38,2381,3269,1966,3937,9384,5202
39,2762,1852,1898,2482,4424,2882
40,2230,4439,2934,2476,4070,2816
41,2816,2946,2706,3199,6967,3305
42,2943,3656,2933,5223,17970,9864
43,2714,2781,2915,2606,2786,2541
44,2603,3742,1990,3733,8735,4526
45,2473,3958,1547,2536,6883,2985
46,3976,3396,4661,3091,11088,4688
47,3526,5555,3799,2655,2324,2352
48,3314,5172,4837,2645,2290,2393
49,1884,1393,1129,2114,1660,1518
50,2229,5560,2310,2114,6784,2409
51,2389,3807,2163,2542,4243,2794
52,2477,1531,2225,2959,2566,2556
53,3347,5997,3289,5184,7973,5614
54,2524,6044,2977,2251,7879,2566
55,2263,6710,2887,4164,10944,5894
56,2022,3131,1896,3224,6761,3817
57,2929,2058,2294,2758,1961,2178
58,2433,3790,2416,3473,4830,4405
59,3805,5009,5294,3255,5266,3576
60,2771,1397,2038,2245,1654,1993
61,2422,4844,2573,2281,3754,2491
62,2988,6726,3561,3062,5784,3173
63,3057,5418,3158,3361,6173,4598
64,2606,3930,2025,1887,4864,1785
65,3013,1430,2313,3639,7127,4523
66,2499,4124,2897,3454,6888,3848
67,3915,4234,2480,2388,5949,2300
68,3129,4474,2387,3439,5604,3642
69,1993,5495,2300,2768,2881,2404
70,1907,4114,1765,2789,4685,2992
71,2593,3654,3299,3073,12159,4423
72,3077,4087,2847,2618,5561,2355
73,2211,4816,2436,3145,7191,3415
74,3194,5024,2412,2608,6714,2639
75,2939,4330,3202,2189,7608,2742
76,2521,4381,2327,3198,13623,5085
77,2200,4967,2260,3099,4490,3079
78,2593,5990,2355,2808,7353,3675
79,4687,2583,3567,10032,7805,7856
80,2767,2651,2648,3985,10581,5889
81,3871,2477,2499,4855,4406,5024
82,1732,4323,1143,1671,5799,1544
83,1354,4190,1283,3777,9547,4206
84,3408,3300,2667,4668,8689,6179
85,2787,2949,2470,2848,4653,3093
86,2659,4615,3031,4150,11743,6242
87,4496,2441,5595,4725,4214,6152
88,2865,5437,3431,2852,5561,3284
89,1976,4576,1502,2138,6618,2011
90,3393,3810,3572,3559,9843,5236
91,2058,4040,1607,2221,4685,2050
92,2479,4732,2504,3052,7658,3546
93,2772,5810,3273,2667,6001,3209
94,2996,11914,4046,5963,5807,5007
95,2376,2290,2506,2491,2810,2358
96,2705,2273,2107,3607,6010,3900
97,2661,1760,1867,7358,3448,5047
98,2712,1763,1668,3407,4360,3024
99,2369,5390,2480,3963,9700,5618
100,1474,4335,2530,4100,9703,5834
101,3706,1985,2158,4009,2926,2387
102,3341,2907,3893,4821,3671,6067
103,2964,2294,2273,3192,4004,2894
104,2738,1685,3032,2638,6975,3056
105,3379,3330,3117,3115,3848,2648
106,2930,3227,2185,2963,4219,1954
107,2454,2884,1820,2299,6471,2371
108,2589,5409,2101,2129,6764,1999
109,2386,4012,1782,3058,4431,2552
110,2639,3223,1816,3081,5088,2499
111,2052,4688,1964,4353,21806,8773
112,3104,3095,2855,3145,4269,2793
113,2270,2246,1860,2918,6892,3688
114,3034,5153,2279,2529,7200,2021
115,1815,5513,1945,2656,7891,3424
116,4306,3620,3535,3887,6382,4495
117,2060,3643,1724,3474,4367,2993
118,1743,3850,2194,3327,4333,3062
119,2466,2417,1689,3040,4253,2843
120,3044,1750,2280,3086,3074,2595
121,3711,3423,2972,2692,6928,2643
122,3237,1928,2066,3101,2659,2095
123,3583,9109,4140,7158,10233,7953
124,3656,3483,3243,4173,9156,5803
125,2438,2824,1434,3444,5299,3265
126,3583,6647,4439,4382,8483,5244
127,3711,7060,4628,4360,10788,6329
128,5215,2993,2568,5860,5518,3885
