pair_index,Ti_pre,Ca_pre,Mg_pre,Ti_post,Ca_post,Mg_post
1,5503.99,5608.64,5699.54,5321.93,5187.61,5278.04
2,6000.73,3097.88,2954.92,5791,2223.66,3015.37
3,4789.65,3269.73,4005.51,5408.71,5398.01,4177.72
4,4078.11,2202.22,3053.76,5277.26,2807.75,2848.17
5,5165.89,5177.37,4182.22,6181.56,3281.76,3375.38
6,3600.41,1528.28,2642.12,5362.61,8550.03,5903.98
7,6009.3,2885.85,2811.05,4116.38,2667.52,2359.77
8,5817.97,3991.53,4697.4,7771.55,15536.32,10546.4
9,6153.41,4977.51,5844.89,5606.96,3326.33,3514.23
10,5430.84,2128.64,5129.23,3649.67,2893.91,2477.43
11,3654.59,2204.15,2112.73,5391.28,6093.12,4737.03
12,4977.26,2946.57,2447.54,6809.1,9558.12,5853.23
13,3271.45,2731.15,2869.21,5774.78,6434.17,4296.76
14,4908.65,7801.03,3559.46,5367.45,5615.78,3803.42
15,5003.58,2334.57,3174.68,6079.54,8739.57,5899.72
16,4413.9,1708.65,2718.4,4436.68,3110.01,2600.23
17,5852.64,2504.03,4237.51,5599.77,4155.06,3615.48
18,4556.7,2521.59,3490,5913.57,9035.48,6632.31
19,5453.28,3898.71,4423.39,2543.51,2041.36,2360.57
20,4796.99,1805.07,2766.99,4227.77,1729.66,2260.88
21,3921.63,1525.45,3556.04,2910.42,1732.71,2017.45
22,4155.19,5808.56,2221.25,5207.82,6401.37,3488.5
23,2571.84,1472.47,1521.32,8500.33,25019.25,11099.35
24,4810.59,5281.4,4407.9,4461.4,6882.23,4646.87
25,5268.04,5313.27,3577.04,5187.86,3796.68,3600.44
26,4634.2,4297.04,2995.61,3943.75,3720.74,2823.73
27,5129.29,3240.25,3959.38,10998.42,33954.47,15977.88
28,4260.99,946.89,1744,5793.15,8814.44,6110.55
29,5721.23,3683.38,5229.11,5440.7,5087.28,6054.49
30,5722.7,4809.69,5464.25,10710.03,32120,14939
31,5153.19,4676.21,4181.74,5608.63,6463.62,5057.26
32,4794.29,2430.19,3566.37,4690.64,4182.98,4089.41
33,5448,4531.55,5258.74,5110.08,5489.58,5241.54
34,6902.52,5624.37,4173.49,7222.41,11142.16,6460.12
35,5545.45,4614.45,4837.38,5175.92,5044.1,5031.31
36,3127.53,2122.28,2168.04,5140.23,5407.96,4956.28
37,4586.97,1674.21,2888.16,7169.19,12921.97,7806.42
38,2474.35,1012.66,1014.51,5946.71,11392.22,5335.99
39,5416.56,1258.93,2488.83,5528.79,3702.8,4156.15
40,4742.87,3676.6,2362.35,4197.33,3844.5,3250.09
41,8297.25,6288.45,4839.85,7290.78,3106.46,4454.8
42,3811.66,3361.6,3361.66,5832.43,10299.01,6716.66
43,3914.62,2581.56,3101.44,4347.62,3423.78,3792.09
44,3447.7,2956.26,2809.04,4541.84,3263.88,2433.97
45,5659.03,2570.82,2688.35,5043.32,3328.18,4197.99
46,5191.56,3084.9,3187.75,5912.27,6850.98,5377.76
47,4665.55,1741.56,2986.1,4506.19,2042.19,3240.75
48,5547.08,4825.27,4980.96,5791.66,8761.68,7807.45
49,4512.24,9889.25,3598.66,5378.39,4309.25,4945.89
50,4770.21,2452.4,3738.51,4945.82,4704.29,4556.81
51,4902.47,2992.26,4039.15,6130.5,11246.08,8285.01
52,6870.63,2730.63,4782.06,5861.09,1916.23,4296.13
53,5969.15,6359.35,6037.11,4469.9,4667.37,3927.2
54,6279.04,3114.07,3662.69,5960.16,8471.22,5857.45
55,4083.89,1663.18,2906.94,4195.47,3623.68,3561.46
56,5707.47,4376.5,4588.29,4947.54,6748.72,5545.1
57,2826.86,9241.29,2842.5,3427.14,8027.72,4061.3
58,4652.37,1906.64,5604.6,5370.97,3371.55,4444.4
59,5383.33,5176.26,3325.63,5642.06,5079.21,3723.66
60,4698.12,3586.73,3697.2,4989.96,11635.97,6774.19
61,5001.51,4504.18,4902.96,5533.09,5580.47,3772.23
62,1813.99,1958.28,1236.78,5006.33,3684.81,4508.75
63,5134.46,1339.28,2713.17,5722.65,3633.62,4258.46
64,4943.58,1600.17,3020.91,5071.25,2686.63,3500.4
65,2230.74,1887.33,1507.46,3356.72,3494.67,2991.27
66,4283.05,2220.17,3103.88,6293.85,9227.86,5703.83
