pair_index,Ti_pre,Ca_pre,Mg_pre,Ti_post,Ca_post,Mg_post
1,4606.03,6957.51,4831.29,3070.06,12811.74,4392.84
2,4927.97,4361.71,4939.1,2961.59,7423.23,3801.87
3,1870.37,2109.5,1098.14,4839.48,12463.24,6965.48
4,4631.91,1207.34,3354.87,5338.74,4769.37,6394.73
5,5808.78,2216.69,4952.63,5001.12,3639.93,4595.02
6,4937.6,2088.05,3571.18,6231.99,2373.53,7821.99
7,5193.93,6328.26,6213.54,4150.93,11283.23,6169.93
8,4363.41,2629.41,3056.75,3889.87,12164.56,7341.01
9,5213.89,1279.66,4820.21,6011.78,2934.71,5547.44
10,5820.95,1373.24,6044.49,3749.73,2408.71,2322.02
11,3683.38,6391.57,3250.11,6781.05,16899.54,9456.47
12,2750.8,2248.66,2265.04,4676.56,3481.95,3981.72
13,4697.73,6372.15,4274.03,7294.71,36493.79,15075.3
14,7014.08,7072.56,6284.3,5910.96,16700.7,7942.09
15,5349.77,1433.12,3899.12,4127.93,1912.78,2827.75
16,3738.43,2295.48,2508.97,3030.71,6268.34,3146.04
17,5210.65,2067.2,6877.17,4398.89,4327.94,4063.12
18,3457.94,2611.62,4598.2,5343.17,4823.47,6616.98
19,4061.27,5052.3,5118.17,2279.11,13533.84,3555.27
20,3643.84,2344.56,2328.59,6478.21,7617.02,8485.63
21,4746.66,5308.01,4865.2,6025.34,4042.73,6949.23
22,2211.28,1592.64,1773.48,2540.42,1739.9,2013.23
23,3087.82,7456.51,2687.51,5477.37,5287.23,4568.39
24,2701.02,1705.48,1532.61,4912.29,3350.04,4940.01
25,4619.14,1416.57,3425.6,5389.03,6454.48,6547.94
26,3551.44,1463.41,2389.2,6143.8,6586.12,7702.36
27,3600.79,1182.58,2589.54,4057.19,2278.18,2536.78
28,3489.03,2106.02,2631.79,5062.08,7185.17,6608.75
29,3782.91,10484.06,3976.39,4110.45,6477.28,4971.61
30,2682.86,5538.72,2531.15,5143.43,7089.45,4282.94
31,4958.75,6073.03,5830.21,2802.2,3440.1,2071.83
32,5282.69,7973.39,5527.63,5099.34,11199.58,6136.01
33,5007.79,7781.48,5341.94,4250.16,3044.75,3221.71
34,3651.58,2504.38,1997.37,5808.07,4621.46,3828.77
35,3356.95,2731.57,1632.09,4703.45,4781.37,4024.41
36,5177,3867.18,3844.6,4475.11,6894.94,5399.52
37,3461.34,2021.4,2433.92,4341.06,5235.38,3634.3
38,2756.52,3023.42,1787.68,3440.4,2386.7,2742.36
